School name,ASP,AA,School Type,Regional council,Territorial authority,Financial Service Provider,Location
Te Awamutu Intermediate #2001,Silks Audit Chartered Accountants Limited,Cameron Town,Intermediate/Restricted Composite - State,Waikato Region,Waipa District,SRN Partners Chartered Accountants Ltd,"-38.017685, 175.332486"
Te Poi School #2014,Silks Audit Chartered Accountants Limited,Cameron Town,Primary - State,Waikato Region,Matamata-Piako District,Education Services,"-37.870703, 175.847828"
Te Waotu School #2025,Silks Audit Chartered Accountants Limited,Cameron Town,Primary - State,Waikato Region,South Waikato District,Education Services,"-38.144246, 175.68954"
Tokoroa Central School #2035,Silks Audit Chartered Accountants Limited,Cameron Town,Primary - State,Waikato Region,South Waikato District,Education Services,"-38.221156, 175.864815"
Tokoroa North School #2038,Silks Audit Chartered Accountants Limited,Cameron Town,Primary - State,Waikato Region,South Waikato District,Education Services,"-38.212817, 175.853813"
Te Kura O Waharoa #2047,Silks Audit Chartered Accountants Limited,Cameron Town,Primary - State,Waikato Region,Matamata-Piako District,Candy Gillispie,"-37.760019, 175.754739"
Waihi East School #2049,Silks Audit Chartered Accountants Limited,Cameron Town,Primary - State,Waikato Region,Hauraki District,The School Office,"-37.38184, 175.856227"
Waihi Central School #2050,Silks Audit Chartered Accountants Limited,Cameron Town,Primary - State,Waikato Region,Hauraki District,Education Services,"-37.389972, 175.838774"
Te Kura o Waitahanui #2068,Silks Audit Chartered Accountants Limited,Cameron Town,Composite - State - Kura/character,Waikato Region,Taupo District,Education Services,"-38.787768, 176.076788"
Welcome Bay School #2076,Silks Audit Chartered Accountants Limited,Cameron Town,Primary - State,Bay of Plenty Region,Tauranga City,Manning Warner Browne Ltd,"-37.727465, 176.196543"
Whakamarama School #2079,Silks Audit Chartered Accountants Limited,Cameron Town,Primary - State,Bay of Plenty Region,Western Bay of Plenty District,Education Services,"-37.717145, 175.99405"
Kaponga School #2095,Silks Audit Chartered Accountants Limited,Cameron Town,Primary - State,Taranaki Region,South Taranaki District,Education Services,"-39.426204, 174.149432"
Manaia School (Taranaki) #2097,Silks Audit Chartered Accountants Limited,Cameron Town,Primary - State,Taranaki Region,South Taranaki District,Education Services,"-39.546564, 174.122763"
Highlands Intermediate #2172,Silks Audit Chartered Accountants Limited,Cameron Town,Intermediate/Restricted Composite - State,Taranaki Region,New Plymouth District,Unknown Service Provider,"-39.074297, 174.089797"
Lepperton School #2182,Silks Audit Chartered Accountants Limited,Cameron Town,Primary - State,Taranaki Region,New Plymouth District,Education Services,"-39.062237, 174.209863"
Mangorei School #2189,Silks Audit Chartered Accountants Limited,Cameron Town,Primary - State,Taranaki Region,New Plymouth District,Education Services,"-39.089713, 174.107552"
Mokau School #2200,Silks Audit Chartered Accountants Limited,Cameron Town,Primary - State,Waikato Region,Waitomo District,Education Services,"-38.697235, 174.617569"
Rawhitiroa School #2228,Silks Audit Chartered Accountants Limited,Cameron Town,Primary - State,Taranaki Region,South Taranaki District,Education Services,"-39.424228, 174.360467"
